iter	Passed	Remaining
0	15	15812
1	25	12840
2	33	10977
3	41	10443
4	49	9947
5	61	10122
6	68	9765
7	75	9389
8	83	9207
9	91	9023
10	97	8774
11	104	8583
12	110	8383
13	117	8241
14	122	8043
15	127	7869
16	134	7776
17	140	7659
18	145	7522
19	151	7441
20	157	7323
21	161	7197
22	167	7125
23	172	7028
24	177	6932
25	183	6861
26	188	6784
27	193	6705
28	198	6631
29	203	6578
30	208	6514
31	213	6470
32	219	6441
33	224	6388
34	233	6435
35	238	6391
36	243	6342
37	250	6342
38	255	6296
39	260	6257
40	267	6245
41	272	6205
42	277	6172
43	281	6127
44	287	6094
45	293	6085
46	299	6075
47	304	6035
48	309	6013
49	315	5994
50	320	5959
51	325	5925
52	330	5912
53	335	5873
54	339	5825
55	344	5809
56	349	5786
57	354	5757
58	359	5734
59	365	5726
60	370	5705
61	376	5691
62	381	5670
63	386	5652
64	390	5618
65	396	5610
66	401	5589
67	406	5565
68	411	5556
69	416	5531
70	421	5508
71	425	5488
72	430	5469
73	435	5450
74	440	5428
75	445	5420
76	450	5399
77	455	5380
78	460	5373
79	465	5352
80	469	5332
81	475	5321
82	479	5303
83	484	5284
84	489	5266
85	494	5252
86	498	5236
87	503	5219
88	508	5202
89	513	5194
90	516	5157
91	521	5144
92	526	5136
93	531	5122
94	536	5107
95	541	5101
96	546	5087
97	551	5072
98	556	5066
99	561	5055
100	566	5043
101	571	5031
102	576	5023
103	581	5010
104	586	4998
105	592	4994
106	597	4983
107	601	4970
108	607	4967
109	612	4959
110	617	4946
111	623	4940
112	628	4934
113	633	4921
114	638	4910
115	645	4917
116	650	4907
117	656	4906
118	661	4900
119	667	4891
120	673	4895
121	678	4886
122	684	4877
123	690	4874
124	694	4864
125	700	4857
126	706	4854
127	712	4850
128	717	4842
129	724	4846
130	729	4836
131	734	4827
132	741	4830
133	745	4819
134	750	4808
135	756	4806
136	761	4794
137	766	4785
138	772	4782
139	777	4774
140	782	4765
141	787	4760
142	792	4749
143	797	4739
144	803	4735
145	807	4726
146	813	4721
147	820	4724
148	825	4717
149	831	4710
150	838	4715
151	844	4709
152	849	4700
153	855	4699
154	860	4691
155	865	4683
156	871	4679
157	876	4672
158	881	4663
159	886	4656
160	892	4649
161	897	4641
162	903	4638
